match_api_id,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
1024464,2,0.07,0.0625,0.0963855421686747,0.0379746835443038,1.2,1.4,3,3,1,1,2,1,3,3,0,2,0,0,0,0,0,0,0,0,-0.2,0.6,-0.2,-0.2,-3
1024479,2,0.03,0.07291666666666667,0.12048192771084337,0.13924050632911392,0.8,0.6,3,1,1,0,2,1,1,1,3,2,0,0,0,0,0,0,0,0,-1.4,-0.8,0.2,0.2,-11
1024482,2,0.08,0.03125,0.07228915662650602,0.06329113924050633,1.6666666666666667,0.8333333333333334,1,3,3,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,0.8333333333333334,0.8333333333333334,-17
1024484,2,0.06,0.041666666666666664,0.08433734939759036,0.0759493670886076,1.1666666666666667,1.1666666666666667,1,1,3,3,0,1,1,0,3,3,0,0,0,0,0,0,0,0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,-8
1024490,2,0.17,0.0625,0.060240963855421686,0.0759493670886076,2.1666666666666665,1.1666666666666667,0,3,3,3,3,1,3,0,3,1,1,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,-3
1024492,2,0.04,0.07291666666666667,0.024096385542168676,0.12658227848101267,1.5,0.6666666666666666,0,0,3,3,0,3,0,1,1,1,0,0,0,0,0,0,1,0,0.3333333333333333,-0.5,0.8333333333333334,0.8333333333333334,8
1024506,1,0.03,0.21875,0.060240963855421686,0.05063291139240506,1.3333333333333333,2.5,1,3,3,0,0,3,3,3,3,3,0,0,0,0,1,1,0,0,-0.3333333333333333,2.8333333333333335,-1.1666666666666667,-1.1666666666666667,9
1024510,1,0.03,0.041666666666666664,0.0963855421686747,0.08860759493670886,0.5,0.5,1,3,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.8333333333333334,-0.5,0.0,0.0,6
1024515,0,0.04,0.09375,0.08433734939759036,0.11392405063291139,0.8333333333333334,1.5,1,1,3,0,0,3,3,3,1,1,0,0,0,0,0,0,0,0,-0.5,0.0,-0.6666666666666666,-0.6666666666666666,12
1024502,1,0.04,0.0625,0.07228915662650602,0.05063291139240506,1.1666666666666667,1.1666666666666667,3,0,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,-0.3333333333333333,0.3333333333333333,0.0,0.0,12
1024497,2,0.05,0.0625,0.08433734939759036,0.05063291139240506,0.8333333333333334,0.8333333333333334,3,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,-0.3333333333333333,0.3333333333333333,0.0,0.0,5
1024525,2,0.06,0.041666666666666664,0.04819277108433735,0.08860759493670886,1.1666666666666667,0.8333333333333334,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.5,0.3333333333333333,0.3333333333333333,-10
1024531,0,0.08,0.19791666666666666,0.1566265060240964,0.06329113924050633,0.5714285714285714,2.2857142857142856,1,3,0,1,1,3,0,3,3,3,0,0,0,0,1,0,0,0,-0.7142857142857143,2.0,-1.7142857142857142,-1.2857142857142858,5
1024537,0,0.06,0.08333333333333333,0.0963855421686747,0.10126582278481013,1.0,1.4285714285714286,1,1,3,0,3,3,1,1,3,3,0,0,0,0,0,0,0,0,-0.2857142857142857,0.0,-0.42857142857142855,-0.2857142857142857,1
1024542,2,0.22,0.07291666666666667,0.060240963855421686,0.10126582278481013,2.2857142857142856,1.1428571428571428,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,2.4285714285714284,-0.14285714285714285,1.1428571428571428,0.8571428571428571,-16
1024545,1,0.07,0.03125,0.07228915662650602,0.10126582278481013,0.7142857142857143,0.5714285714285714,1,3,1,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0.14285714285714285,-0.7142857142857143,0.14285714285714285,0.0,-5
1024554,0,0.05,0.07291666666666667,0.0963855421686747,0.0379746835443038,1.0,1.7142857142857142,1,1,1,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,-0.42857142857142855,0.5714285714285714,-0.7142857142857143,-1.0,-3
1024534,0,0.08,0.125,0.1927710843373494,0.08860759493670886,0.42857142857142855,1.8571428571428572,1,1,1,1,1,3,1,3,3,3,0,0,1,1,1,0,0,0,-1.1428571428571428,0.7142857142857143,-1.4285714285714286,-1.7142857142857142,13
1024539,2,0.04,0.052083333333333336,0.08433734939759036,0.08860759493670886,0.5714285714285714,1.1428571428571428,0,0,0,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.2857142857142857,-0.5714285714285714,-0.7142857142857143,-6
1024547,2,0.04,0.041666666666666664,0.10843373493975904,0.0759493670886076,0.7142857142857143,1.2857142857142858,1,3,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,-0.7142857142857143,-0.2857142857142857,-0.5714285714285714,-0.42857142857142855,7
1024549,2,0.11,0.09375,0.12048192771084337,0.17721518987341772,1.7142857142857142,1.0,3,3,3,3,1,3,1,3,1,1,0,0,0,0,0,0,0,0,0.14285714285714285,-0.7142857142857143,0.7142857142857143,0.8571428571428571,1
1024568,2,0.12,0.0625,0.08433734939759036,0.10126582278481013,1.8571428571428572,1.0,3,1,3,3,3,1,1,3,0,3,1,0,0,0,0,0,0,0,0.7142857142857143,-0.2857142857142857,0.8571428571428571,0.7142857142857143,-7
1024573,1,0.1,0.25,0.0963855421686747,0.06329113924050633,1.625,2.375,3,3,1,1,3,3,0,3,3,3,0,0,0,0,1,0,0,0,0.25,2.375,-0.75,-0.5,5
1024576,2,0.23,0.09375,0.060240963855421686,0.06329113924050633,2.375,1.375,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.5,1.0,0.75,-1
1024589,2,0.07,0.0625,0.12048192771084337,0.11392405063291139,1.0,1.0,1,3,3,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,-0.375,-0.375,0.0,-0.125,0
1024595,1,0.05,0.08333333333333333,0.1566265060240964,0.21518987341772153,1.0,0.5,1,0,3,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,-1.0,-1.125,0.5,0.125,8
1024601,2,0.04,0.10416666666666667,0.0963855421686747,0.08860759493670886,1.125,0.875,1,0,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,-0.5,0.375,0.25,0.125,-1
1024609,0,0.05,0.09375,0.13253012048192772,0.26582278481012656,0.625,0.375,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,1,1,-0.75,-1.5,0.25,0.375,2
