FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
1,0.042735042735042736,0.0,0.01282051282051282,0.012987012987012988,2.0,0.3333333333333333,3,3,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,1.3333333333333333,-0.3333333333333333,1.6666666666666667,1.6666666666666667,-10
0,0.0,0.008695652173913044,0.038461538461538464,0.012987012987012988,0.3333333333333333,0.6666666666666666,1,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,-7
2,0.017094017094017096,0.0,0.07692307692307693,0.012987012987012988,0.0,0.5,1,1,1,2,2,0,1,0,2,2,0,0,0,0,0,0,0,0,-1.0,-0.25,-0.5,-0.5,6
2,0.09401709401709402,0.034782608695652174,0.0,0.09090909090909091,1.75,0.75,3,3,0,2,2,1,3,1,2,2,0,0,0,0,0,0,0,0,2.75,-0.75,1.0,1.0,-15
0,0.0,0.017391304347826087,0.01282051282051282,0.11688311688311688,0.5,0.75,1,0,0,2,2,1,1,3,2,2,0,0,0,0,0,0,0,0,-0.25,-1.75,-0.25,-0.25,2
0,0.042735042735042736,0.043478260869565216,0.01282051282051282,0.025974025974025976,1.75,1.5,0,3,3,2,2,1,3,3,2,2,0,0,0,0,0,0,0,0,1.0,0.75,0.25,0.25,15
1,0.017094017094017096,0.017391304347826087,0.01282051282051282,0.07792207792207792,1.25,1.0,3,0,0,2,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0.25,-1.0,0.25,0.25,-14
2,0.03418803418803419,0.017391304347826087,0.01282051282051282,0.03896103896103896,2.25,0.5,3,3,3,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0.75,-0.25,1.75,1.75,-13
0,0.03418803418803419,0.0,0.02564102564102564,0.012987012987012988,1.25,0.5,3,0,0,2,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0.5,-0.25,0.75,0.75,0
0,0.008547008547008548,0.06956521739130435,0.05128205128205128,0.05194805194805195,0.5,1.75,0,1,0,2,2,0,3,3,2,2,0,0,0,0,0,0,0,0,-0.75,1.0,-1.25,-1.25,-3
0,0.02564102564102564,0.008695652173913044,0.05128205128205128,0.07792207792207792,0.5,0.25,0,0,1,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,-0.25,-1.25,0.25,0.25,7
2,0.05982905982905983,0.02608695652173913,0.038461538461538464,0.05194805194805195,1.75,0.75,3,3,0,2,2,3,1,1,2,2,0,0,0,0,0,0,0,0,1.0,-0.25,1.0,1.0,-1
2,0.05982905982905983,0.02608695652173913,0.02564102564102564,0.07792207792207792,1.8,0.6,3,1,3,3,2,3,1,1,1,2,0,0,0,0,0,0,0,0,1.0,-0.6,1.2,1.2,-12
0,0.03418803418803419,0.017391304347826087,0.10256410256410256,0.05194805194805195,0.6,0.4,1,1,3,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,-0.8,-0.4,0.2,0.2,5
2,0.042735042735042736,0.017391304347826087,0.14102564102564102,0.012987012987012988,1.2,1.2,3,1,1,3,2,0,3,0,0,2,0,0,0,0,0,0,0,0,-1.2,0.2,0.0,0.0,6
0,0.03418803418803419,0.10434782608695652,0.08974358974358974,0.0,0.6,2.0,1,3,1,1,2,3,3,3,0,2,0,0,0,0,0,0,0,0,-0.6,2.4,-1.4,-1.4,5
1,0.02564102564102564,0.043478260869565216,0.08974358974358974,0.03896103896103896,0.4,1.4,1,0,0,1,2,1,0,3,3,2,0,0,0,0,0,0,0,0,-0.8,0.4,-1.0,-1.0,-4
0,0.0,0.08695652173913043,0.02564102564102564,0.05194805194805195,0.4,2.0,1,0,1,0,2,3,3,3,0,2,0,0,0,0,0,0,0,0,-0.4,1.2,-1.6,-1.6,3
2,0.08547008547008547,0.06956521739130435,0.0641025641025641,0.025974025974025976,2.0,2.4,3,0,3,3,2,3,3,3,3,2,0,0,0,0,0,0,0,0,1.0,1.2,-0.4,-0.4,7
2,0.017094017094017096,0.02608695652173913,0.07692307692307693,0.03896103896103896,0.8,1.0,3,1,1,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,-0.8,0.0,-0.2,-0.2,-7
2,0.02564102564102564,0.017391304347826087,0.0641025641025641,0.07792207792207792,0.4,0.4,1,0,0,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,-0.4,-0.8,0.0,0.0,13
0,0.017094017094017096,0.05217391304347826,0.07692307692307693,0.06493506493506493,1.0,1.0,0,3,1,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,-0.8,0.2,0.0,0.0,0
2,0.017094017094017096,0.034782608695652174,0.02564102564102564,0.14285714285714285,1.0,0.5,1,0,3,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0.0,-1.1666666666666667,0.5,0.5,-13
2,0.07692307692307693,0.043478260869565216,0.07692307692307693,0.06493506493506493,2.0,0.8333333333333334,1,3,3,3,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0.5,0.0,1.1666666666666667,1.1666666666666667,-17
1,0.11965811965811966,0.0,0.01282051282051282,0.03896103896103896,2.1666666666666665,0.3333333333333333,3,3,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.1666666666666665,-0.5,1.8333333333333333,1.8333333333333333,-7
1,0.05982905982905983,0.12173913043478261,0.0641025641025641,0.07792207792207792,1.3333333333333333,2.1666666666666665,0,1,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0.3333333333333333,1.3333333333333333,-0.8333333333333334,-0.8333333333333334,10
2,0.017094017094017096,0.034782608695652174,0.10256410256410256,0.09090909090909091,0.3333333333333333,1.1666666666666667,1,1,0,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,-1.0,-0.5,-0.8333333333333334,-0.8333333333333334,-6
2,0.09401709401709402,0.0782608695652174,0.05128205128205128,0.025974025974025976,2.1666666666666665,2.0,3,3,3,3,0,3,3,1,3,3,0,0,0,0,0,0,0,0,1.1666666666666667,1.1666666666666667,0.16666666666666666,0.16666666666666666,3
2,0.02564102564102564,0.043478260869565216,0.10256410256410256,0.11688311688311688,0.5,0.5,1,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.8333333333333334,-0.6666666666666666,0.0,0.0,1
2,0.06837606837606838,0.05217391304347826,0.07692307692307693,0.14285714285714285,1.3333333333333333,1.5,3,1,3,0,0,3,3,1,1,3,0,0,0,0,0,0,0,0,0.3333333333333333,-0.8333333333333334,-0.16666666666666666,-0.16666666666666666,8
1,0.042735042735042736,0.043478260869565216,0.05128205128205128,0.11688311688311688,0.8333333333333334,0.5,3,1,1,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0.16666666666666666,-0.6666666666666666,0.3333333333333333,0.3333333333333333,5
